nominal;data;curs;cdx
10;31.12.2009;23,5336;Ёфиопский быр
10;30.11.2009;23,5813;Ёфиопский быр
10;31.10.2009;23,2664;Ёфиопский быр
10;30.09.2009;23,9996;Ёфиопский быр
10;31.08.2009;25,1505;Ёфиопский быр
10;31.07.2009;26,5129;Ёфиопский быр
10;30.06.2009;27,5582;Ёфиопский быр
10;31.05.2009;27,6157;Ёфиопский быр
10;30.04.2009;30,0326;Ёфиопский быр
10;31.03.2009;30,0406;Ёфиопский быр
10;28.02.2009;32,3214;Ёфиопский быр
10;31.01.2009;31,7358;Ёфиопский быр
10;31.12.2008;29,5396;Ёфиопский быр
10;30.11.2008;27,7541;Ёфиопский быр
10;31.10.2008;27,8934;Ёфиопский быр
10;30.09.2008;25,9877;Ёфиопский быр
10;31.08.2008;25,3253;Ёфиопский быр
10;31.07.2008;24,1223;Ёфиопский быр
10;30.06.2008;24,3964;Ёфиопский быр
10;31.05.2008;24,6415;Ёфиопский быр
10;30.04.2008;24,6898;Ёфиопский быр
10;31.03.2008;24,6831;Ёфиопский быр
10;29.02.2008;25,8533;Ёфиопский быр
10;31.01.2008;26,4649;Ёфиопский быр
10;29.12.2007;26,7928;Ёфиопский быр
10;30.11.2007;26,8058;Ёфиопский быр
10;31.10.2007;27,2112;Ёфиопский быр
10;30.09.2007;27,4832;Ёфиопский быр
10;31.08.2007;28,2479;Ёфиопский быр
10;31.07.2007;28,0889;Ёфиопский быр
10;30.06.2007;28,4306;Ёфиопский быр
10;31.05.2007;28,9920;Ёфиопский быр
10;30.04.2007;28,9600;Ёфиопский быр
10;31.03.2007;29,2775;Ёфиопский быр
10;28.02.2007;29,4565;Ёфиопский быр
10;31.01.2007;29,9164;Ёфиопский быр
10;30.12.2006;29,9104;Ёфиопский быр
10;30.11.2006;30,0750;Ёфиопский быр
10;31.10.2006;30,5796;Ёфиопский быр
10;30.09.2006;30,5894;Ёфиопский быр
10;31.08.2006;30,5831;Ёфиопский быр
10;01.08.2006;30,7461;Ёфиопский быр
10;01.07.2006;30,8367;Ёфиопский быр
10;01.06.2006;30,8908;Ёфиопский быр
10;01.05.2006;31,3311;Ёфиопский быр
10;01.04.2006;31,9294;Ёфиопский быр
10;01.03.2006;32,2178;Ёфиопский быр
10;01.02.2006;32,2241;Ёфиопский быр
10;01.01.2006;33,0024;Ёфиопский быр
10;01.12.2005;32,9513;Ёфиопский быр
10;01.11.2005;32,6024;Ёфиопский быр
10;01.10.2005;32,9467;Ёфиопский быр
10;01.09.2005;32,7576;Ёфиопский быр
10;01.08.2005;32,9236;Ёфиопский быр
10;01.07.2005;32,9228;Ёфиопский быр
10;01.06.2005;32,2684;Ёфиопский быр
10;01.05.2005;32,1318;Ёфиопский быр
10;01.04.2005;31,9783;Ёфиопский быр
10;01.03.2005;31,9298;Ёфиопский быр
10;01.02.2005;32,6564;Ёфиопский быр
10;01.01.2005;32,2659;Ёфиопский быр
10;01.12.2004;32,8334;Ёфиопский быр
10;01.11.2004;34,2599;Ёфиопский быр
10;01.10.2004;33,9734;Ёфиопский быр
10;01.09.2004;34,2043;Ёфиопский быр
10;01.08.2004;33,6722;Ёфиопский быр
10;30.07.2004;33,6722;Ёфиопский быр
10;01.07.2004;33,5618;Ёфиопский быр
10;01.06.2004;33,8017;Ёфиопский быр
10;01.05.2004;33,8808;Ёфиопский быр
10;01.04.2004;33,3161;Ёфиопский быр
10;01.03.2004;33,1523;Ёфиопский быр
10;01.02.2004;33,3235;Ёфиопский быр
10;01.01.2004;34,4497;Ёфиопский быр
10;01.12.2003;34,7800;Ёфиопский быр
10;01.11.2003;34,9221;Ёфиопский быр
10;01.10.2003;36,4427;Ёфиопский быр
10;01.09.2003;35,6767;Ёфиопский быр
10;01.08.2003;35,5577;Ёфиопский быр
10;01.07.2003;35,3916;Ёфиопский быр
10;01.06.2003;36,5108;Ёфиопский быр
10;01.05.2003;36,2471;Ёфиопский быр
10;01.04.2003;37,8078;Ёфиопский быр
10;01.03.2003;37,2141;Ёфиопский быр
10;01.02.2003;38,3400;Ёфиопский быр
10;01.01.2003;38,2945;Ёфиопский быр
10;01.12.2002;37,5326;Ёфиопский быр
10;01.11.2002;37,4156;Ёфиопский быр
10;01.10.2002;37,3813;Ёфиопский быр
10;01.09.2002;38,0414;Ёфиопский быр
10;01.08.2002;37,8796;Ёфиопский быр
10;01.07.2002;37,6515;Ёфиопский быр
10;01.06.2002;37,0060;Ёфиопский быр
10;01.05.2002;37,3161;Ёфиопский быр
10;01.04.2002;37,1634;Ёфиопский быр
10;01.03.2002;36,9945;Ёфиопский быр
10;01.02.2002;36,6169;Ёфиопский быр
10;01.01.2002;35,6653;Ёфиопский быр
10;01.12.2001;35,4300;Ёфиопский быр
10;01.11.2001;35,2300;Ёфиопский быр
10;01.10.2001;34,9900;Ёфиопский быр
10;01.09.2001;34,9800;Ёфиопский быр
10;01.08.2001;35,1200;Ёфиопский быр
10;01.07.2001;34,9500;Ёфиопский быр
10;01.06.2001;35,0000;Ёфиопский быр
10;01.05.2001;34,7500;Ёфиопский быр
10;01.04.2001;34,7800;Ёфиопский быр
10;01.03.2001;34,8100;Ёфиопский быр
10;01.02.2001;34,4700;Ёфиопский быр
10;01.01.2001;34,3000;Ёфиопский быр
10;01.12.2000;34,1100;Ёфиопский быр
10;01.11.2000;34,3600;Ёфиопский быр
10;01.10.2000;34,0700;Ёфиопский быр
10;01.09.2000;34,0900;Ёфиопский быр
10;01.08.2000;34,4500;Ёфиопский быр
10;01.07.2000;34,6400;Ёфиопский быр
10;01.06.2000;34,8700;Ёфиопский быр
10;01.05.2000;35,0100;Ёфиопский быр
10;01.04.2000;35,3200;Ёфиопский быр
10;01.03.2000;35,8700;Ёфиопский быр
10;01.02.2000;35,6000;Ёфиопский быр
10;01.01.2000;33,6900;Ёфиопский быр
10;01.12.1999;32,9500;Ёфиопский быр
10;01.11.1999;32,4500;Ёфиопский быр
10;01.10.1999;30,8900;Ёфиопский быр
10;01.09.1999;32,9300;Ёфиопский быр
10;01.08.1999;32,2100;Ёфиопский быр
10;01.07.1999;34,6600;Ёфиопский быр
10;01.06.1999;34,9700;Ёфиопский быр
10;01.05.1999;34,6700;Ёфиопский быр
10;01.04.1999;34,6000;Ёфиопский быр
10;01.03.1999;32,6800;Ёфиопский быр
10;01.02.1999;32,5800;Ёфиопский быр
10;01.01.1999;29,5500;Ёфиопский быр
10;01.12.1998;25,5867;Ёфиопский быр
10;01.11.1998;22,9823;Ёфиопский быр
10;01.10.1998;2,2989;Ёфиопский быр
10;01.09.1998;1,1312;Ёфиопский быр
10;01.08.1998;8,9274;Ёфиопский быр
10;01.07.1998;8,9579;Ёфиопский быр
10;01.06.1998;8,8385;Ёфиопский быр
10;01.05.1998;8,9389;Ёфиопский быр
10;01.04.1998;9,0125;Ёфиопский быр
10;01.03.1998;9,0166;Ёфиопский быр
